date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2020-10-21,3494,0,0,0,0,0,0,0,,,,
2020-10-22,3494,0,0,0,0,0,0,0,,,,
2020-10-23,3494,0,0,0,0,0,0,0,,,,
2020-10-26,3494,0,0,0,0,0,0,0,,,,
2020-10-27,3494,0,0,0,0,0,0,0,,,,
2020-10-28,3494,0,0,0,0,0,0,0,,,,
2020-10-29,3494,0,0,0,0,0,0,0,,,,
2020-10-30,3494,0,0,0,0,0,0,0,,,,
2020-11-02,3494,0,0,0,0,0,0,0,,,,
2020-11-03,3494,0,0,0,0,0,0,0,,,,
2020-11-04,3494,0,0,0,0,0,0,0,,,,
2020-11-05,3494,0,0,0,0,0,0,0,,,,
2020-11-06,3494,0,0,0,0,0,0,0,,,,
2020-11-09,3494,0,0,0,0,0,0,0,,,,
2020-11-10,3494,0,0,0,0,0,0,0,,,,
2020-11-11,3494,0,0,0,0,0,0,0,,,,
2020-11-12,3494,0,0,0,0,0,0,0,,,,
2020-11-13,3494,0,0,0,0,0,0,0,,,,
2020-11-16,3494,0,0,0,0,0,0,0,,,,
2020-11-17,3494,0,0,0,0,0,0,0,,,,
2020-11-18,3494,0,0,0,0,0,0,0,,,,
2020-11-19,3494,0,0,0,0,0,0,0,,,,
2020-11-20,3494,0,0,0,0,0,0,0,,,,
2020-11-23,3494,0,0,0,0,0,0,0,,,,
2020-11-24,3494,0,0,0,0,0,0,0,,,,
2020-11-25,3494,0,0,0,0,0,0,0,,,,
2020-11-26,3494,0,0,0,0,0,0,0,,,,
2020-11-27,3494,0,0,0,0,0,0,0,,,,
2020-11-30,3494,0,0,0,0,0,0,0,,,,
2020-12-01,3494,0,0,0,0,0,0,0,,,,
2020-12-02,3494,0,0,0,0,0,0,0,,,,
2020-12-03,3494,0,0,0,0,0,0,0,,,,
2020-12-04,3494,0,0,0,0,0,0,0,,,,
2020-12-07,3494,0,0,0,0,0,0,0,,,,
2020-12-08,3494,0,0,0,0,0,0,0,,,,
2020-12-09,3494,0,0,0,0,0,0,0,,,,
2020-12-10,3494,0,0,0,0,0,0,0,,,,
2020-12-11,3494,0,0,0,0,0,0,0,,,,
2020-12-14,3494,0,0,0,0,0,0,0,,,,
2020-12-15,3494,0,0,0,0,0,0,0,,,,
2020-12-16,3494,0,0,0,0,0,0,0,,,,
2020-12-17,3494,0,0,0,0,0,0,0,,,,
2020-12-18,3494,0,0,0,0,0,0,0,,,,
2020-12-21,3494,0,0,0,0,0,0,0,,,,
2020-12-22,3494,0,0,0,0,0,0,0,,,,
2020-12-23,3494,0,0,0,0,0,0,0,,,,
2020-12-24,3494,0,0,0,0,0,0,0,,,,
2020-12-25,3494,0,0,0,0,0,0,0,,,,
2020-12-28,3494,0,0,0,0,0,0,0,,,,
2020-12-29,3494,0,0,0,0,0,0,0,,,,
2020-12-30,3494,0,0,0,0,0,0,0,,,,
2020-12-31,3494,0,0,0,0,0,0,0,,,,
2021-01-04,3494,0,0,0,0,0,0,0,,,,
2021-01-05,3494,0,0,0,0,0,0,0,,,,
2021-01-06,3494,0,0,0,0,0,0,0,,,,
2021-01-07,3494,0,0,0,0,0,0,0,,,,
2021-01-08,3494,0,0,0,0,0,0,0,,,,
2021-01-11,3494,0,0,0,0,0,0,0,,,,
2021-01-12,3494,0,0,0,0,0,0,0,,,,
2021-01-13,3494,0,0,0,0,0,0,0,,,,
2021-01-14,3494,0,0,0,0,0,0,0,,,,
2021-01-15,3494,0,0,0,0,0,0,0,,,,
2021-01-18,3494,0,0,0,0,0,0,0,,,,
2021-01-19,3494,0,0,0,0,0,0,0,,,,
2021-01-20,3494,0,0,0,0,0,0,0,,,,
2021-01-21,3494,0,0,0,0,0,0,0,,,,
2021-01-22,3494,0,0,0,0,0,0,0,,,,
2021-01-25,3494,0,0,0,0,0,0,0,,,,
2021-01-26,3494,0,0,0,0,0,0,0,,,,
2021-01-27,3494,0,0,0,0,0,0,0,,,,
2021-01-28,3494,0,0,0,0,0,0,0,,,,
2021-01-29,3494,0,0,0,0,0,0,0,,,,
2021-02-01,3494,0,0,0,0,0,0,0,,,,
2021-02-02,3494,0,0,0,0,0,0,0,,,,
2021-02-03,3494,0,0,0,0,0,0,0,,,,
2021-02-04,3494,0,0,0,0,0,0,0,,,,
2021-02-05,3494,0,0,0,0,0,0,0,,,,
2021-02-17,3494,0,0,0,0,0,0,0,,,,
2021-02-18,3494,0,0,0,0,0,0,0,,,,
2021-02-19,3494,0,0,0,0,0,0,0,,,,
2021-02-22,3494,0,0,0,0,0,0,0,,,,
2021-02-23,3494,0,0,0,0,0,0,0,,,,
2021-02-24,3494,0,0,0,0,0,0,0,,,,
2021-02-25,3494,0,0,0,0,0,0,0,,,,
2021-02-26,3494,0,0,0,0,0,0,0,,,,
2021-03-02,3494,0,0,0,0,0,0,0,,,,
2021-03-03,3494,0,0,0,0,0,0,0,,,,
2021-03-04,3494,0,0,0,0,0,0,0,,,,
2021-03-05,3494,0,0,0,0,0,0,0,,,,
2021-03-08,3494,0,0,0,0,0,0,0,,,,
2021-03-09,3494,0,0,0,0,0,0,0,,,,
2021-03-10,3494,0,0,0,0,0,0,0,,,,
2021-03-11,3494,0,0,0,0,0,0,0,,,,
2021-03-12,3494,0,0,0,0,0,0,0,,,,
2021-03-15,3494,0,0,0,0,0,0,0,,,,
2021-03-16,3494,0,0,0,0,0,0,0,,,,
2021-03-17,3494,0,0,0,0,0,0,0,,,,
2021-03-18,3494,0,0,0,0,0,0,0,,,,
2021-03-19,3494,0,0,0,0,0,0,0,,,,
2021-03-22,3494,0,0,0,0,0,0,0,,,,
2021-03-23,3494,0,0,0,0,0,0,0,,,,
2021-03-24,3494,0,0,0,0,0,0,0,,,,
2021-03-25,3494,0,0,0,0,0,0,0,,,,
2021-03-26,3494,0,0,0,0,0,0,0,,,,
2021-03-29,3494,0,0,0,0,0,0,0,,,,
2021-03-30,3494,0,0,0,0,0,0,0,,,,
2021-03-31,3494,0,0,0,0,0,0,0,,,,
2021-04-01,3494,0,0,0,0,0,0,0,,,,
2021-04-06,3494,0,0,0,0,0,0,0,,,,
2021-04-07,3494,0,0,0,0,0,0,0,,,,
2021-04-08,3494,0,0,0,0,0,0,0,,,,
2021-04-09,3494,0,0,0,0,0,0,0,,,,
2021-04-12,3494,0,0,0,0,0,0,0,,,,
2021-04-13,3494,0,0,0,0,0,0,0,,,,
2021-04-14,3494,0,0,0,0,0,0,0,,,,
2021-04-15,3494,0,0,0,0,0,0,0,,,,
2021-04-16,3494,0,0,0,0,0,0,0,,,,
2021-04-19,3494,0,0,0,0,0,0,0,,,,
2021-04-20,3494,0,0,0,0,0,0,0,,,,
2021-04-21,3494,0,0,0,0,0,0,0,,,,
2021-04-22,3494,0,0,0,0,0,0,0,,,,
2021-04-23,3494,0,0,0,0,0,0,0,,,,
2021-04-26,3494,0,0,0,0,0,0,0,,,,
2021-04-27,3494,0,0,0,0,0,0,0,,,,
2021-04-28,3494,0,0,0,0,0,0,0,,,,
2021-04-29,3494,0,0,0,0,0,0,0,,,,
2021-05-03,3494,0,0,0,0,0,0,0,,,,
2021-05-04,3494,0,0,0,0,0,0,0,,,,
2021-05-05,3494,0,0,0,0,0,0,0,,,,
2021-05-06,3494,0,0,0,0,0,0,0,,,,
2021-05-07,3494,0,0,0,0,0,0,0,,,,
2021-05-10,3494,0,0,0,0,0,0,0,,,,
2021-05-11,3494,0,0,0,0,0,0,0,,,,
2021-05-12,3494,0,0,0,0,0,0,0,,,,
2021-05-13,3494,0,0,0,0,0,0,0,,,,
2021-05-14,3494,0,0,0,0,0,0,0,,,,
2021-05-17,3494,0,0,0,0,0,0,0,,,,
2021-05-18,3494,0,0,0,0,0,0,0,,,,
2021-05-19,3494,0,0,0,0,0,0,0,,,,
2021-05-20,3494,0,0,0,0,0,0,0,,,,
2021-05-21,3494,0,0,0,0,0,0,0,,,,
2021-05-24,3494,0,0,0,0,0,0,0,,,,
2021-05-25,3494,0,0,0,0,0,0,0,,,,
2021-05-26,3494,0,0,0,0,0,0,0,,,,
2021-05-27,3494,0,0,0,0,0,0,0,,,,
2021-05-28,3494,0,0,0,0,0,0,0,,,,
2021-05-31,3494,0,0,0,0,0,0,0,,,,
2021-06-01,3494,0,0,0,0,0,0,0,,,,
2021-06-02,3494,0,0,0,0,0,0,0,,,,
2021-06-03,3494,0,0,0,0,0,0,0,,,,
2021-06-04,3494,0,0,0,0,0,0,0,,,,
2021-06-07,3494,0,0,0,0,0,0,0,,,,
2021-06-08,3494,0,0,0,0,0,0,0,,,,
2021-06-09,3494,0,0,0,0,0,0,0,,,,
2021-06-10,3494,0,0,0,0,0,0,0,,,,
2021-06-11,3494,0,0,0,0,0,0,0,,,,
2021-06-15,3494,0,0,0,0,0,0,0,,,,
2021-06-16,3494,0,0,0,0,0,0,0,,,,
2021-06-17,3494,0,0,0,0,0,0,0,,,,
2021-06-18,3494,0,0,0,0,0,0,0,,,,
2021-06-21,3494,0,0,0,0,0,0,0,,,,
2021-06-22,3494,0,0,0,0,0,0,0,,,,
2021-06-23,3494,0,0,0,0,0,0,0,,,,
2021-06-24,3494,0,0,0,0,0,0,0,,,,
2021-06-25,3494,0,0,0,0,0,0,0,,,,
2021-06-28,3494,0,0,0,0,0,0,0,,,,
2021-06-29,3494,0,0,0,0,0,0,0,,,,
2021-06-30,3494,0,0,0,0,0,0,0,,,,
2021-07-01,3494,0,0,0,0,0,0,0,,,,
2021-07-02,3494,0,0,0,0,0,0,0,,,,
2021-07-05,3494,0,0,0,0,0,0,0,,,,
2021-07-06,3494,0,0,0,0,0,0,0,,,,
2021-07-07,3494,0,0,0,0,0,0,0,,,,
2021-07-08,3494,0,0,0,0,0,0,0,,,,
2021-07-09,3494,0,0,0,0,0,0,0,,,,
2021-07-12,3494,0,0,0,0,0,0,0,,,,
2021-07-13,3494,0,0,0,0,0,0,0,,,,
2021-07-14,3494,0,0,0,0,0,0,0,,,,
2021-07-15,3494,0,0,0,0,0,0,0,,,,
2021-07-16,3494,0,0,0,0,0,0,0,,,,
2021-07-19,3494,0,0,0,0,0,0,0,,,,
2021-07-20,3494,0,0,0,0,0,0,0,,,,
2021-07-21,3494,0,0,0,0,0,0,0,,,,
2021-07-22,3494,0,0,0,0,0,0,0,,,,
2021-07-23,3494,0,0,0,0,0,0,0,,,,
2021-07-26,3494,0,0,0,0,0,0,0,,,,
2021-07-27,3494,0,0,0,0,0,0,0,,,,
2021-07-28,3494,0,0,0,0,0,0,0,,,,
2021-07-29,3494,0,0,0,0,0,0,0,,,,
2021-07-30,3494,0,0,0,0,0,0,0,,,,
2021-08-02,3494,0,0,0,0,0,0,0,,,,
2021-08-03,3494,0,0,0,0,0,0,0,,,,
2021-08-04,3494,0,0,0,0,0,0,0,,,,
2021-08-05,3494,0,0,0,0,0,0,0,,,,
2021-08-06,3494,0,0,0,0,0,0,0,,,,
2021-08-09,3494,0,0,0,0,0,0,0,,,,
2021-08-10,3494,0,0,0,0,0,0,0,,,,
2021-08-11,3494,0,0,0,0,0,0,0,,,,
2021-08-12,3494,0,0,0,0,0,0,0,,,,
2021-08-13,3494,0,0,0,0,0,0,0,,,,
2021-08-16,3494,0,0,0,0,0,0,0,,,,
2021-08-17,3494,0,0,0,0,0,0,0,,,,
2021-08-18,3494,0,0,0,0,0,0,0,,,,
2021-08-19,3494,0,0,0,0,0,0,0,,,,
2021-08-20,3494,0,0,0,0,0,0,0,,,,
2021-08-23,3494,0,0,0,0,0,0,0,,,,
2021-08-24,3494,0,0,0,0,0,0,0,,,,
2021-08-25,3494,0,0,0,0,0,0,0,,,,
2021-08-26,3494,0,0,0,0,0,0,0,,,,
2021-08-27,3494,0,0,0,0,0,0,0,,,,
2021-08-30,3494,0,0,0,0,0,0,0,,,,
2021-08-31,3494,0,0,0,0,0,0,0,,,,
2021-09-01,3494,0,0,0,0,0,0,0,,,,
2021-09-02,3494,0,0,0,0,0,0,0,,,,
2021-09-03,3494,0,0,0,0,0,0,0,,,,
2021-09-06,3494,0,0,0,0,0,0,0,,,,
2021-09-07,3494,0,0,0,0,0,0,0,,,,
2021-09-08,3494,0,0,0,0,0,0,0,,,,
2021-09-09,3494,0,0,0,0,0,0,0,,,,
2021-09-10,3494,0,0,0,0,0,0,0,,,,
2021-09-13,3494,0,0,0,0,0,0,0,,,,
2021-09-14,3494,0,0,0,0,0,0,0,,,,
2021-09-15,3494,0,0,0,0,0,0,0,,,,
2021-09-16,3494,0,0,0,0,0,0,0,,,,
2021-09-17,3494,0,0,0,0,0,0,0,,,,
2021-09-22,3494,0,0,0,0,0,0,0,,,,
2021-09-23,3494,0,0,0,0,0,0,0,,,,
2021-09-24,3494,0,0,0,0,0,0,0,,,,
2021-09-27,3494,0,0,0,0,0,0,0,,,,
2021-09-28,3494,0,0,0,0,0,0,0,,,,
2021-09-29,3494,0,0,0,0,0,0,0,,,,
2021-09-30,3494,0,0,0,0,0,0,0,,,,
2021-10-01,3494,0,0,0,0,0,0,0,,,,
2021-10-04,3494,0,0,0,0,0,0,0,,,,
2021-10-05,3494,0,0,0,0,0,0,0,,,,
2021-10-06,3494,0,0,0,0,0,0,0,,,,
2021-10-07,3494,0,0,0,0,0,0,0,,,,
2021-10-08,3494,0,0,0,0,0,0,0,,,,
2021-10-12,3494,0,0,0,0,0,0,0,,,,
2021-10-13,3494,0,0,0,0,0,0,0,,,,
2021-10-14,3494,0,0,0,0,0,0,0,,,,
2021-10-15,3494,0,0,0,0,0,0,0,,,,
2021-10-18,3494,0,0,0,0,0,0,0,,,,
2021-10-19,3494,0,0,0,0,0,0,0,,,,
2021-10-20,3494,0,0,0,0,0,0,0,,,,
2021-10-21,3494,0,0,0,0,0,0,0,,,,
2021-10-22,3494,0,0,0,0,0,0,0,,,,
2021-10-25,3494,0,0,0,0,0,0,0,,,,
2021-10-26,3494,0,0,0,0,0,0,0,,,,
2021-10-27,3494,0,0,0,0,0,0,0,,,,
2021-10-28,3494,0,0,0,0,0,0,0,,,,
2021-10-29,3494,0,0,0,0,0,0,0,,,,
2021-11-01,3494,0,0,0,0,0,0,0,,,,
2021-11-02,3494,0,0,0,0,0,0,0,,,,
2021-11-03,3494,0,0,0,0,0,0,0,,,,
2021-11-04,3494,0,0,0,0,0,0,0,,,,
2021-11-05,3494,0,0,0,0,0,0,0,,,,
2021-11-08,3494,0,0,0,0,0,0,0,,,,
2021-11-09,3494,0,0,0,0,0,0,0,,,,
2021-11-10,3494,0,0,0,0,0,0,0,,,,
2021-11-11,3494,0,0,0,0,0,0,0,,,,
2021-11-12,3494,0,0,0,0,0,0,0,,,,
2021-11-15,3494,0,0,0,0,0,0,0,,,,
2021-11-16,3494,0,0,0,0,0,0,0,,,,
2021-11-17,3494,0,0,0,0,0,0,0,,,,
2021-11-18,3494,0,0,0,0,0,0,0,,,,
2021-11-19,3494,0,0,0,0,0,0,0,,,,
2021-11-22,3494,0,0,0,0,0,0,0,,,,
2021-11-23,3494,0,0,0,0,0,0,0,,,,
2021-11-24,3494,0,0,0,0,0,0,0,,,,
2021-11-25,3494,0,0,0,0,0,0,0,,,,
2021-11-26,3494,0,0,0,0,0,0,0,,,,
2021-11-29,3494,0,0,0,0,0,0,0,,,,
2021-11-30,3494,0,0,0,0,0,0,0,,,,
2021-12-01,3494,0,0,0,0,0,0,0,,,,
2021-12-02,3494,0,0,0,0,0,0,0,,,,
2021-12-03,3494,0,0,0,0,0,0,0,,,,
2021-12-06,3494,0,0,0,0,0,0,0,,,,
2021-12-07,3494,0,0,0,0,0,0,0,,,,
2021-12-08,3494,0,0,0,0,0,0,0,,,,
2021-12-09,3494,0,0,0,0,0,0,0,,,,
2021-12-10,3494,0,0,0,0,0,0,0,,,,
2021-12-13,3494,0,0,0,0,0,0,0,,,,
2021-12-14,3494,0,0,0,0,0,0,0,,,,
2021-12-15,3494,0,0,0,0,0,0,0,,,,
2021-12-16,3494,0,0,0,0,0,0,0,,,,
2021-12-17,3494,0,0,0,0,0,0,0,,,,
2021-12-20,3494,0,0,0,0,0,0,0,,,,
2021-12-21,3494,0,0,0,0,0,0,0,,,,
2021-12-22,3494,0,0,0,0,0,0,0,,,,
2021-12-23,3494,0,0,0,0,0,0,0,,,,
2021-12-24,3494,0,0,0,0,0,0,0,,,,
2021-12-27,3494,0,0,0,0,0,0,0,,,,
2021-12-28,3494,0,0,0,0,0,0,0,,,,
2021-12-29,3494,0,0,0,0,0,0,0,,,,
2021-12-30,3494,0,0,0,0,0,0,0,,,,
2022-01-03,3494,0,0,0,0,0,0,0,,,,
2022-01-04,3494,0,0,0,0,0,0,0,,,,
2022-01-05,3494,0,0,0,0,0,0,0,,,,
2022-01-06,3494,0,0,0,0,0,0,0,,,,
2022-01-07,3494,0,0,0,0,0,0,0,,,,
2022-01-10,3494,0,0,0,0,0,0,0,,,,
2022-01-11,3494,0,0,0,0,0,0,0,,,,
2022-01-12,3494,0,0,0,0,0,0,0,,,,
2022-01-13,3494,0,0,0,0,0,0,0,,,,
2022-01-14,3494,0,0,0,0,0,0,0,,,,
2022-01-17,3494,0,0,0,0,0,0,0,,,,
2022-01-18,3494,0,0,0,0,0,0,0,,,,
2022-01-19,3494,0,0,0,0,0,0,0,,,,
2022-01-20,3494,0,0,0,0,0,0,0,,,,
2022-01-21,3494,0,0,0,0,0,0,0,,,,
2022-01-24,3494,0,0,0,0,0,0,0,,,,
2022-01-25,3494,0,0,0,0,0,0,0,,,,
2022-01-26,3494,0,0,0,0,0,0,0,,,,
2022-02-07,3494,0,0,0,0,0,0,0,,,,
2022-02-08,3494,0,0,0,0,0,0,0,,,,
2022-02-09,3494,0,0,0,0,0,0,0,,,,
2022-02-10,3494,0,0,0,0,0,0,0,,,,
2022-02-11,3494,0,0,0,0,0,0,0,,,,
2022-02-14,3494,0,0,0,0,0,0,0,,,,
2022-02-15,3494,0,0,0,0,0,0,0,,,,
2022-02-16,3494,0,0,0,0,0,0,0,,,,
2022-02-17,3494,0,0,0,0,0,0,0,,,,
2022-02-18,3494,0,0,0,0,0,0,0,,,,
2022-02-21,3494,0,0,0,0,0,0,0,,,,
2022-02-22,3494,0,0,0,0,0,0,0,,,,
2022-02-23,3494,0,0,0,0,0,0,0,,,,
2022-02-24,3494,0,0,0,0,0,0,0,,,,
2022-02-25,3494,0,0,0,0,0,0,0,,,,
2022-03-01,3494,0,0,0,0,0,0,0,,,,
2022-03-02,3494,0,0,0,0,0,0,0,,,,
2022-03-03,3494,0,0,0,0,0,0,0,,,,
2022-03-04,3494,0,0,0,0,0,0,0,,,,
2022-03-07,3494,0,0,0,0,0,0,0,,,,
2022-03-08,3494,0,0,0,0,0,0,0,,,,
2022-03-09,3494,0,0,0,0,0,0,0,,,,
2022-03-10,3494,0,0,0,0,0,0,0,,,,
2022-03-11,3494,0,0,0,0,0,0,0,,,,
2022-03-14,3494,0,0,0,0,0,0,0,,,,
2022-03-15,3494,0,0,0,0,0,0,0,,,,
2022-03-16,3494,0,0,0,0,0,0,0,,,,
2022-03-17,3494,0,0,0,0,0,0,0,,,,
2022-03-18,3494,0,0,0,0,0,0,0,,,,
2022-03-21,3494,0,0,0,0,0,0,0,,,,
2022-03-22,3494,0,0,0,0,0,0,0,,,,
2022-03-23,3494,0,0,0,0,0,0,0,,,,
2022-03-24,3494,0,0,0,0,0,0,0,,,,
2022-03-25,3494,0,0,0,0,0,0,0,,,,
2022-03-28,3494,0,0,0,0,0,0,0,,,,
2022-03-29,3494,0,0,0,0,0,0,0,,,,
2022-03-30,3494,0,0,0,0,0,0,0,,,,
2022-03-31,3494,0,0,0,0,0,0,0,,,,
2022-04-01,3494,0,0,0,0,0,0,0,,,,
2022-04-06,3494,0,0,0,0,0,0,0,,,,
2022-04-07,3494,0,0,0,0,0,0,0,,,,
2022-04-08,3494,0,0,0,0,0,0,0,,,,
2022-04-11,3494,0,0,0,0,0,0,0,,,,
2022-04-12,3494,0,0,0,0,0,0,0,,,,
2022-04-13,3494,0,0,0,0,0,0,0,,,,
2022-04-14,3494,0,0,0,0,0,0,0,,,,
2022-04-15,3494,0,0,0,0,0,0,0,,,,
2022-04-18,3494,0,0,0,0,0,0,0,,,,
2022-04-19,3494,0,0,0,0,0,0,0,,,,
2022-04-20,3494,0,0,0,0,0,0,0,,,,
2022-04-21,3494,0,0,0,0,0,0,0,,,,
2022-04-22,3494,0,0,0,0,0,0,0,,,,
2022-04-25,3494,0,0,0,0,0,0,0,,,,
2022-04-26,3494,0,0,0,0,0,0,0,,,,
2022-04-27,3494,0,0,0,0,0,0,0,,,,
2022-04-28,3494,0,0,0,0,0,0,0,,,,
2022-04-29,3494,0,0,0,0,0,0,0,,,,
2022-05-03,3494,0,0,0,0,0,0,0,,,,
2022-05-04,3494,0,0,0,0,0,0,0,,,,
2022-05-05,3494,0,0,0,0,0,0,0,,,,
2022-05-06,3494,0,0,0,0,0,0,0,,,,
2022-05-09,3494,0,0,0,0,0,0,0,,,,
2022-05-10,3494,0,0,0,0,0,0,0,,,,
2022-05-11,3494,0,0,0,0,0,0,0,,,,
2022-05-12,3494,0,0,0,0,0,0,0,,,,
2022-05-13,3494,0,0,0,0,0,0,0,,,,
2022-05-16,3494,0,0,0,0,0,0,0,,,,
2022-05-17,3494,0,0,0,0,0,0,0,,,,
2022-05-18,3494,0,0,0,0,0,0,0,,,,
2022-05-19,3494,0,0,0,0,0,0,0,,,,
2022-05-20,3494,0,0,0,0,0,0,0,,,,
2022-05-23,3494,0,0,0,0,0,0,0,,,,
2022-05-24,3494,0,0,0,0,0,0,0,,,,
2022-05-25,3494,0,0,0,0,0,0,0,,,,
2022-05-26,3494,0,0,0,0,0,0,0,,,,
2022-05-27,3494,0,0,0,0,0,0,0,,,,
2022-05-30,3494,0,0,0,0,0,0,0,,,,
2022-05-31,3494,0,0,0,0,0,0,0,,,,
2022-06-01,3494,0,0,0,0,0,0,0,,,,
2022-06-02,3494,0,0,0,0,0,0,0,,,,
2022-06-06,3494,0,0,0,0,0,0,0,,,,
2022-06-07,3494,0,0,0,0,0,0,0,,,,
2022-06-08,3494,0,0,0,0,0,0,0,,,,
2022-06-09,3494,0,0,0,0,0,0,0,,,,
2022-06-10,3494,0,0,0,0,0,0,0,,,,
2022-06-13,3494,0,0,0,0,0,0,0,,,,
2022-06-14,3494,0,0,0,0,0,0,0,,,,
2022-06-15,3494,0,0,0,0,0,0,0,,,,
2022-06-16,3494,0,0,0,0,0,0,0,,,,
2022-06-17,3494,0,0,0,0,0,0,0,,,,
2022-06-20,3494,0,0,0,0,0,0,0,,,,
2022-06-21,3494,0,0,0,0,0,0,0,,,,
2022-06-22,3494,0,0,0,0,0,0,0,,,,
2022-06-23,3494,0,0,0,0,0,0,0,,,,
2022-06-24,3494,0,0,0,0,0,0,0,,,,
2022-06-27,3494,0,0,0,0,0,0,0,,,,
2022-06-28,3494,0,0,0,0,0,0,0,,,,
2022-06-29,3494,0,0,0,0,0,0,0,,,,
2022-06-30,3494,0,0,0,0,0,0,0,,,,
2022-07-01,3494,0,0,0,0,0,0,0,,,,
2022-07-04,3494,0,0,0,0,0,0,0,,,,
2022-07-05,3494,0,0,0,0,0,0,0,,,,
2022-07-06,3494,0,0,0,0,0,0,0,,,,
2022-07-07,3494,0,0,0,0,0,0,0,,,,
2022-07-08,3494,0,0,0,0,0,0,0,,,,
2022-07-11,3494,0,0,0,0,0,0,0,,,,
2022-07-12,3494,0,0,0,0,0,0,0,,,,
2022-07-13,3494,0,0,0,0,0,0,0,,,,
2022-07-14,3494,0,0,0,0,0,0,0,,,,
2022-07-15,3494,0,0,0,0,0,0,0,,,,
2022-07-18,3494,0,0,0,0,0,0,0,,,,
2022-07-19,3494,0,0,0,0,0,0,0,,,,
2022-07-20,3494,0,0,0,0,0,0,0,,,,
2022-07-21,3494,0,0,0,0,0,0,0,,,,
2022-07-22,3494,0,0,0,0,0,0,0,,,,
2022-07-25,3494,0,0,0,0,0,0,0,,,,
2022-07-26,3494,0,0,0,0,0,0,0,,,,
2022-07-27,3494,0,0,0,0,0,0,0,,,,
2022-07-28,3494,0,0,0,0,0,0,0,,,,
2022-07-29,3494,0,0,0,0,0,0,0,,,,
2022-08-01,3494,0,0,0,0,0,0,0,,,,
2022-08-02,3494,0,0,0,0,0,0,0,,,,
2022-08-03,3494,0,0,0,0,0,0,0,,,,
2022-08-04,3494,0,0,0,0,0,0,0,,,,
2022-08-05,3494,0,0,0,0,0,0,0,,,,
2022-08-08,3494,0,0,0,0,0,0,0,,,,
2022-08-09,3494,0,0,0,0,0,0,0,,,,
2022-08-10,3494,0,0,0,0,0,0,0,,,,
2022-08-11,3494,0,0,0,0,0,0,0,,,,
2022-08-12,3494,0,0,0,0,0,0,0,,,,
2022-08-15,3494,0,0,0,0,0,0,0,,,,
2022-08-16,3494,0,0,0,0,0,0,0,,,,
2022-08-17,3494,0,0,0,0,0,0,0,,,,
2022-08-18,3494,0,0,0,0,0,0,0,,,,
2022-08-19,3494,0,0,0,0,0,0,0,,,,
2022-08-22,3494,0,0,0,0,0,0,0,,,,
2022-08-23,3494,0,0,0,0,0,0,0,,,,
2022-08-24,3494,0,0,0,0,0,0,0,,,,
2022-08-25,3494,0,0,0,0,0,0,0,,,,
2022-08-26,3494,0,0,0,0,0,0,0,,,,
2022-08-29,3494,0,0,0,0,0,0,0,,,,
2022-08-30,3494,0,0,0,0,0,0,0,,,,
2022-08-31,3494,0,0,0,0,0,0,0,,,,
2022-09-01,3494,0,0,0,0,0,0,0,,,,
2022-09-02,3494,0,0,0,0,0,0,0,,,,
2022-09-05,3494,0,0,0,0,0,0,0,,,,
2022-09-06,3494,0,0,0,0,0,0,0,,,,
2022-09-07,3494,0,0,0,0,0,0,0,,,,
2022-09-08,3494,0,0,0,0,0,0,0,,,,
2022-09-12,3494,0,0,0,0,0,0,0,,,,
2022-09-13,3494,0,0,0,0,0,0,0,,,,
2022-09-14,3494,0,0,0,0,0,0,0,,,,
2022-09-15,3494,0,0,0,0,0,0,0,,,,
2022-09-16,3494,0,0,0,0,0,0,0,,,,
2022-09-19,3494,0,0,0,0,0,0,0,,,,
2022-09-20,3494,0,0,0,0,0,0,0,,,,
2022-09-21,3494,0,0,0,0,0,0,0,,,,
2022-09-22,3494,0,0,0,0,0,0,0,,,,
2022-09-23,3494,0,0,0,0,0,0,0,,,,
2022-09-26,3494,0,0,0,0,0,0,0,,,,
2022-09-27,3494,0,0,0,0,0,0,0,,,,
2022-09-28,3494,0,0,0,0,0,0,0,,,,
2022-09-29,3494,0,0,0,0,0,0,0,,,,
2022-09-30,3494,0,0,0,0,0,0,0,,,,
2022-10-03,3494,0,0,0,0,0,0,0,,,,
2022-10-04,3494,0,0,0,0,0,0,0,,,,
2022-10-05,3494,0,0,0,0,0,0,0,,,,
2022-10-06,3494,0,0,0,0,0,0,0,,,,
2022-10-07,3494,0,0,0,0,0,0,0,,,,
2022-10-11,3494,0,0,0,0,0,0,0,,,,
2022-10-12,3494,0,0,0,0,0,0,0,,,,
2022-10-13,3494,0,0,0,0,0,0,0,,,,
2022-10-14,3494,0,0,0,0,0,0,0,,,,
2022-10-17,3494,0,0,0,0,0,0,0,,,,
2022-10-18,3494,0,0,0,0,0,0,0,,,,
2022-10-19,3494,0,0,0,0,0,0,0,,,,
2022-10-20,3494,0,0,0,0,0,0,0,,,,
2022-10-21,3494,0,0,0,0,0,0,0,,,,
2022-10-24,3494,0,0,0,0,0,0,0,,,,
2022-10-25,3494,0,0,0,0,0,0,0,,,,
2022-10-26,3494,0,0,0,0,0,0,0,,,,
2022-10-27,3494,0,0,0,0,0,0,0,,,,
2022-10-28,3494,0,0,0,0,0,0,0,,,,
