stock_id,asof
3527,20260916
3529,20260916
3531,20260916
3537,20260916
3540,20260916
3541,20260916
3546,20260916
3548,20260916
3551,20260916
3552,20260916
3553,20260916
3555,20260916
3556,20260916
3558,20260916
3562,20260916
3564,20260916
3567,20260916
3570,20260916
3577,20260916
3580,20260916
3581,20260916
3587,20260916
3594,20260916
3597,20260916
3609,20260916
3611,20260916
3615,20260916
3623,20260916
3624,20260916
3625,20260916
3628,20260916
3629,20260916
3630,20260916
3631,20260916
3632,20260916
3642,20260916
3646,20260916
3658,20260916
3662,20260916
3663,20260916
3664,20260916
3666,20260916
3672,20260916
3675,20260916
3680,20260916
3684,20260916
3685,20260916
3687,20260916
3689,20260916
3691,20260916
3693,20260916
3707,20260916
3709,20260916
3710,20260916
3713,20260916
3718,20260916
4102,20260916
4103,20260916
4105,20260916
4107,20260916
4109,20260916
4111,20260916
4113,20260916
4114,20260916
4116,20260916
4120,20260916
4121,20260916
4123,20260916
4126,20260916
4127,20260916
4128,20260916
4129,20260916
4130,20260916
4131,20260916
4138,20260916
4139,20260916
4147,20260916
4152,20260916
4153,20260916
4154,20260916
4157,20260916
4160,20260916
4161,20260916
4162,20260916
4163,20260916
4166,20260916
4167,20260916
4168,20260916
4171,20260916
4173,20260916
4174,20260916
4175,20260916
4180,20260916
4183,20260916
4188,20260916
4192,20260916
4198,20260916
4205,20260916
4207,20260916
4303,20260916
4304,20260916
4305,20260916
4401,20260916
4402,20260916
4406,20260916
4413,20260916
4415,20260916
4416,20260916
4417,20260916
4419,20260916
4420,20260916
4429,20260916
4430,20260916
4432,20260916
4433,20260916
4442,20260916
4502,20260916
4503,20260916
4506,20260916
4510,20260916
4513,20260916
4523,20260916
4527,20260916
4528,20260916
4529,20260916
4530,20260916
4533,20260916
4534,20260916
4535,20260916
4538,20260916
4541,20260916
4542,20260916
4543,20260916
4549,20260916
4550,20260916
4554,20260916
4556,20260916
4558,20260916
4561,20260916
4563,20260916
4568,20260916
4577,20260916
4580,20260916
4584,20260916
4609,20260916
4702,20260916
4703,20260916
4706,20260916
4707,20260916
4711,20260916
4712,20260916
4714,20260916
4716,20260916
4721,20260916
4726,20260916
4728,20260916
4729,20260916
4735,20260916
4741,20260916
4743,20260916
4744,20260916
4745,20260916
4747,20260916
4749,20260916
4754,20260916
4760,20260916
4762,20260916
4767,20260916
4768,20260916
4772,20260916
4803,20260916
4804,20260916
4806,20260916
4903,20260916
4905,20260916
4907,20260916
4908,20260916
4909,20260916
4911,20260916
4923,20260916
4924,20260916
4931,20260916
4933,20260916
4939,20260916
4944,20260916
4945,20260916
4946,20260916
4947,20260916
4950,20260916
4951,20260916
4953,20260916
4965,20260916
4966,20260916
4971,20260916
4972,20260916
4973,20260916
4974,20260916
4979,20260916
